PLU,ARTICLE,ARTICLE DESCRIPTION,PRICE
767,1419162,CBTL MACCHIATO DOUBLE,230
770,1419163,CBTL CAPPUCCINO DOUBLE,270
771,1419164,CBTL CAPPUCCINO SINGLE,240
772,1419165,CBTL AMERICANO REGULAR,250
773,1419166,CBTL AMERICANO LARGE,280
774,1419167,CBTL CARAMEL MACCHIATO REGULAR,300
775,1419168,CBTL CARAMEL MACCHIATO LARGE,330
777,1372822,MAKROOT FRUIT NB,119
778,1419169,CBTL CAFE LATTE REGULAR,270
779,1419170,CBTL CAFE LATTE LARGE,300
780,1372812,TOMATO BEAFSTEEK NB,2999
781,1419171,CBTL VANILLA LATTE REGULAR,300
792,1419172,CBTL VANILLA LATTE LARGE,330
794,1419173,CBTL MOCHA LATTE REGULAR,300
795,1419174,CBTL MOCHA LATTE LARGE,330
796,1419175,CBTL CARAMEL LATTE REGULAR,320
797,1419176,CBTL CARAMEL LATTE LARGE,350
798,1419177,CBTL HAZELNUT AMERICANO LARGE,330
799,1419178,CBTL HAZELNUT AMERICANO REGULAR,300
800,1365242,WAL PAPADI,119
801,1419179,CBTL HAZELNUT LATTE LARGE,350
804,1419180,CBTL HAZELNUT LATTE REGULAR,320
806,1419181,CBTL WHITE CHOCOLATE LATTE REGULAR,300
809,1419182,CBTL WHITE CHOCOLATE LATTE LARGE,330
811,1365630,BEIGE COTTON BAG 18 X 20,20
812,1364225,BLUE COTTON BAG 14 X 16,40
813,1419183,CBTL DOUBLE CHOCOLATE LATTE REGULAR,300
858,1419184,CBTL DOUBLE CHOCOLATE LATTE LARGE,330
859,1419185,CBTL ASSAM TEA LATTE REGULAR,270
867,1419186,CBTL TROP. PASSION LATTE LARGE,290
873,1419187,CBTL NSA MOCHA LATTE LARGE,330
874,1419188,CBTL MORROCAN MINT LATTE LARGE,290
875,1419189,CBTL ENGLISH BREAK FAST LATTE LARGE,290
876,1419190,CBTL CHAI LATTE REGULAR,270
887,1355154,LANDANA CHEESE PHILLY TYPE 2KG,2583
888,1380096,KIWI GOLDEN PACK,359
889,1357811,LANDANA GOUDA WITH HERBS 4.5KG,3564
921,1419191,CBTL DOUBLE VANILLA LARGE,290
922,1419192,CBTL ASSAM TEA LATTE LARGE,290
923,1419193,CBTL DOUBLE VANILLA REGULAR,270
929,1419194,CBTL CHAI LATTE LARGE,290
930,1419195,CBTL TROP PASSION LATTE REGULAR,270
931,1365366,LETTUCE OAK LEAF GREEN GT,49
932,1365378,LETTUCE OAK LEAF RED GT,59
933,1365363,LETTUCE BUTTERHEAD BATAVIA BRONZE GT,49
934,1371822,LETTUCE BUTTERHEAD BATAVIA GREEN PRM GT,59
935,1365314,SALAD MIXED BAG GT,69
936,1371823,LETTUCE LOLOROSSO PREMIUM GT,59
937,1371824,LETTUCE RUCOLA ROQUETE PREMIUM GT,39
938,1371825,BASIL PREMIUM GT,25
939,1371826,PARSLEY FLAT GT,29
940,1371827,PARSLEY CURLY GT,29
941,1371828,GARLIC CHIVES GT,39
942,1371829,CELERY GT,39
943,1419196,CBTL ENGLISH B FAST LATTE REGULAR,270
944,1419197,CBTL MORROCAN MINT LATTE REGULAR,270
945,1371831,LEMON GRASSS GT,25
946,1419198,CBTL HOT VANILLA REGULAR,270
947,1365293,DILLL LEAVES 200 G NB,49
948,1419199,CBTL HOT VANILLA LARGE,300
949,1419200,CBTL HOT CHOCOLATE REGULAR,270
950,1357966,COLLIERS MONTEREY JACK 2.5KG,3800
951,1371832,SPINACH BUNDLE GT,29
953,1419201,CBTL HOT CHOCOLATE LARGE,300
954,1419202,CBTL HOT DOUBLE CHOCOLATE REGULAR,290
955,1419203,CBTL HOT DOUBLE CHOCOLATE LARGE,320
956,1419204,CBTL HOT WHITE CHOCOLATE REGULAR,290
957,1419205,CBTL HOT WHITE CHOCOLATE LARGE,320
958,1419206,CBTL ASSAM TEA,240
959,1419207,CBTL CHAI HT,240
960,1419208,CBTL ENGLISH BREAKFAST HOT,240
961,1419209,CBTL ESTATE DARJEELING TEA,240
965,1419210,CBTL TROPICAL PASSION HOT,240
968,1419211,CBTL VANILLA CEYLON HOT,240
985,1419212,CBTL EARL GREY HOT,240
986,1419213,CBTL AFRICAN SUNRISE HOT,260
987,1419214,CBTL JASMINE DRAGON PHOENIX PEARL,280
988,1419215,CBTL LEMON CHAMOMILE HOT,260
989,1419216,CBTL MORROCAN MINT HOT,260
990,1419217,CBTL SWEDISH BERRY HOT,260
991,1419218,CBTL GENMAICHA HOT,260
992,1419219,CBTL GINSENG PEPPERMINT TEA,280
993,1419220,CBTL ADD MOCHA,60
994,1419221,CBTL ADD VANILLA,60
995,1419222,CBTL ADD ALMOND MILK,100
996,1419223,CBTL ADD ESPRESSO SHOT,60
997,1419224,CBTL ADD HAZELNUT,60
